,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.67658992355,2.2437493686606875,10.079660707790731
1/24/20,0.0,0.0,0.0,99999.31376279921,2.517206472683968,10.16903072810805
1/25/20,0.0,0.0,0.0,99998.90652717483,2.824133092897693,10.269339732280157
1/26/20,0.0,0.0,0.0,99998.44973631015,3.1684081602359413,10.381855529610307
1/27/20,0.0,0.0,0.0,99997.93758653785,3.554405715273354,10.50800774687426
1/28/20,0.0,0.0,0.0,99997.36327932382,3.987249490240992,10.649471185948153
1/29/20,0.0,0.0,0.0,99996.71902126717,4.47281290902634,10.808165823808512
1/30/20,0.0,0.0,0.0,99995.9960241003,5.017719087173305,10.986256812532245
1/31/20,2.0,0.0,0.0,99995.18450468882,5.629340831882219,11.186154479296643
2/1/20,2.0,0.0,0.0,99994.27368503161,6.315800642009837,11.410514326379388
2/2/20,2.0,0.0,0.0,99993.25179226078,7.085970708069331,11.66223703115854
2/3/20,2.0,0.0,0.0,99992.10554652405,7.9498582726448275,11.94459520329653
2/4/20,2.0,0.0,0.0,99990.81847420271,8.919875451782463,12.261650345509665
2/5/20,2.0,0.0,0.0,99989.37564728947,10.00727399350537,12.617078717017684
2/6/20,2.0,0.0,0.0,99987.75937303672,11.225388594487065,13.015238368793417
2/7/20,2.0,0.0,0.0,99985.94843835013,12.59020544594368,13.4613562039217
2/8/20,2.0,0.0,0.0,99983.91810978876,14.120362233633966,13.961527977599378
2/9/20,2.0,0.0,0.0,99981.640133565,15.837148137859286,14.522718297135302
2/10/20,2.0,0.0,0.0,99979.08273554458,17.764503833463614,15.152760621950332
2/11/20,2.0,0.0,0.0,99976.21062124659,19.929021489833552,15.860357263577338
2/12/20,0.0,2.0,0.0,99972.98497584344,22.359944770898302,16.655079385661193
2/13/20,0.0,2.0,0.0,99969.36346416091,25.08916883512969,17.547367003958783
2/14/20,0.0,2.0,0.0,99965.30023067811,28.151240335542155,18.548528986338997
2/15/20,0.0,2.0,0.0,99960.74589923144,31.58335764132667,19.67074312723287
2/16/20,0.0,2.0,0.0,99955.63459339805,35.43509340901989,20.930313192924277
2/17/20,0.0,2.0,0.0,99949.89989865042,39.7564751319446,22.343626217629346
2/18/20,0.0,2.0,0.0,99943.47704376884,44.596348469747056,23.926607761402522
2/19/20,0.0,2.0,0.0,99936.28584990397,50.01513647466547,25.699013621358617
2/20/20,0.0,2.0,0.0,99928.23073057679,56.084839591529956,27.684429831672794
2/21/20,0.0,2.0,0.0,99919.20069167865,62.88903565776257,29.910272663580585
2/22/20,0.0,2.0,0.0,99909.06933147124,70.52287990337729,32.40778862537787
2/23/20,0.0,2.0,0.0,99897.69484058658,79.09310495097998,35.212054462420895
2/24/20,0.0,2.0,0.0,99884.9200020271,88.71802081576848,38.36197715712626
2/25/20,0.0,2.0,0.0,99870.57219116548,99.52751490553256,41.90029392897094
2/26/20,0.0,2.0,0.0,99854.46337574485,111.66305202065381,45.873572234492244
2/27/20,0.0,2.0,0.0,99836.3901158786,125.27767435410588,50.332209767287836
2/28/20,0.0,2.0,0.0,99816.13356405053,140.53600149145427,55.3304344580158
2/29/20,0.0,2.0,0.0,99793.44176209842,157.62714475208426,60.93109314949659
3/1/20,0.0,2.0,0.0,99767.98133684957,176.80048275303707,67.21818039739483
3/2/20,1.0,2.0,0.0,99739.46289854823,198.27470468387136,74.26239676788938
3/3/20,1.0,2.0,0.0,99707.5438431705,222.308227376299,82.14792945319158
3/4/20,1.0,2.0,0.0,99671.81412603936,249.20953515057022,90.97633881005812
3/5/20,2.0,2.0,0.0,99631.79626182473,279.3371798154736,100.86655835979099
3/6/20,11.0,2.0,0.0,99586.94532454341,313.09978066833594,111.95489478823748
3/7/20,11.0,2.0,0.0,99536.64894755918,350.9560244950227,124.39502794579028
3/8/20,14.0,3.0,0.0,99480.22732358267,393.41466556993737,138.35801084738728
3/9/20,14.0,3.0,0.0,99416.93320467146,441.0345256560221,154.03226967251186
3/10/20,17.0,3.0,0.0,99345.95190223004,494.4244940047572,171.62360376519257
3/11/20,17.0,3.0,0.0,99266.40128700982,554.2435273561612,191.3551856340033
3/12/20,25.0,3.0,0.0,99177.33178910913,621.2006499387912,213.4675609520633
3/13/20,42.0,3.0,0.0,99077.72639797321,696.0549534697427,238.21864855703728
3/14/20,51.0,8.0,0.0,98966.37794776766,779.6832845034405,265.938767728898
3/15/20,55.0,8.0,0.0,98841.90245942448,873.1140613892214,296.9834791862889
3/16/20,82.0,8.0,0.0,98702.80896891597,977.4802625674986,331.7107685165279
3/17/20,106.0,8.0,0.0,98547.39177842723,1094.0619817829427,370.54623978982113
3/18/20,139.0,8.0,0.0,98373.73045419989,1224.2864290956786,413.9831167044342
3/19/20,189.0,9.0,1.0,98179.68982653202,1369.7279308812854,462.58224258669236
3/20/20,243.0,9.0,1.0,97962.91998977822,1532.1079298307968,516.9720803909804
3/21/20,293.0,12.0,1.0,97720.85630234955,1713.2949849506997,577.8487126997425
3/22/20,350.0,16.0,1.0,97450.71938671358,1915.3047715629355,645.9758417234823
3/23/20,421.0,16.0,1.0,97149.51512939433,2140.3000813049007,722.1847893007632
3/24/20,472.0,22.0,1.0,96814.03468097234,2390.5908221294458,807.3744968982086
3/25/20,626.0,29.0,3.0,96440.85445608462,2668.6340183048733,902.5115256105001
3/26/20,799.0,38.0,3.0,96026.33613342466,2977.0338104149437,1008.6300561603801
3/27/20,987.0,45.0,4.0,95566.91621785502,3318.262394645923,1126.8213874990586
3/28/20,1211.0,49.0,4.0,95059.78877181752,3693.924055281363,1258.2871729011224
3/29/20,1462.0,64.0,8.0,94498.97425794313,4108.463088495412,1404.5626535614583
3/30/20,1761.0,66.0,9.0,93878.20114834612,4566.484893972849,1567.3139576810277
3/31/20,2199.0,121.0,17.0,93191.47772421752,5072.214868134378,1748.307407648104
4/1/20,2563.0,190.0,24.0,92433.0920758251,5629.498404136628,1949.409520038273
4/2/20,3283.0,235.0,30.0,91597.6121025134,6241.800891872159,2172.587005614434
4/3/20,3834.0,281.0,34.0,90679.88551270375,6912.207717969452,2419.906769326798
4/4/20,4355.0,333.0,43.0,89675.0398238942,7643.424265792917,2693.535910312887
4/5/20,4989.0,355.0,45.0,88578.48236265959,8437.775915442893,2995.741721897538
4/6/20,5890.0,406.0,47.0,87385.90026465149,9297.20804375564,3328.891691592899
4/7/20,6945.0,494.0,58.0,86093.26047459825,10223.286024303348,3695.4535010984305
4/8/20,8029.0,580.0,63.0,84696.809746305,11217.195227394133,4097.995026300906
4/9/20,9357.0,698.0,76.0,83193.0746426536,12279.741020072035,4539.18433727441
4/10/20,11028.0,795.0,94.0,81579.03960071944,13411.600047814134,5021.360351466431
4/11/20,12433.0,1045.0,106.0,79853.89507818624,14612.205740766456,5545.899181047316
4/12/20,14349.0,1291.0,130.0,78018.82052121205,15877.084014185235,6116.095464602719
4/13/20,16710.0,1470.0,148.0,76076.40315652773,17200.584656596235,6735.0121868760325
4/14/20,19238.0,1694.0,170.0,74030.65288402961,18576.117114850193,7405.230001120202
4/15/20,22306.0,1986.0,198.0,71887.00227677947,19996.150494122798,8128.847229097732
4/16/20,25402.0,2304.0,232.0,69652.3065810046,21452.213557914718,8907.479861080687
4/17/20,29145.0,2590.0,273.0,67334.84371609773,22934.894728051586,9742.261555850684
4/18/20,33423.0,3057.0,313.0,64944.31427461712,24433.842084683987,10633.843640698904
4/19/20,39201.0,3291.0,361.0,62491.841522286435,25937.7633662875,11582.395111426078
4/20/20,43270.0,3446.0,405.0,59989.97139799488,27434.425969662636,12587.602632342498
4/21/20,48434.0,3873.0,456.0,57452.6725137971,28910.656949934906,13648.670536268015
4/22/20,53066.0,4420.0,513.0,54895.336154913224,30352.343020554756,14764.320824532035
4/23/20,57327.0,4891.0,555.0,52334.77627972888,31744.430553297625,15932.793166973519
4/24/20,62439.0,5568.0,615.0,49789.229519795146,33070.9255782639,17151.844901940993
4/25/20,67657.0,6250.0,681.0,47278.35517982856,34314.89378387894,18418.751036292528
4/26/20,73435.0,6767.0,747.0,44822.717652999156,35458.89852192518,19730.38382507567
4/27/20,79007.0,7346.0,794.0,42430.49482284278,36497.14852610292,21084.356651054302
4/28/20,84235.0,8456.0,867.0,40107.200731210236,37428.43412349693,22476.365145292842
4/29/20,88141.0,10286.0,972.0,37860.19973074911,38250.28575345573,23901.514515795163
4/30/20,93806.0,11619.0,1073.0,35695.80984454075,38961.10490631493,25355.085249144322
5/1/20,100042.0,13220.0,1169.0,33619.30276610026,39560.16412339718,26832.53311050256
5/2/20,107819.0,15013.0,1222.0,31634.90385937647,40047.60699701222,28329.48914361131
5/3/20,116768.0,16639.0,1280.0,29745.79215875198,40424.44817045684,29841.759670791187
5/4/20,125817.0,18095.0,1356.0,27954.10036904313,40692.57333801489,31365.326292941994
5/5/20,134054.0,19865.0,1451.0,26260.914865500017,40854.73924495729,32896.34588954271
5/6/20,143065.0,21327.0,1537.0,24666.27569380648,40914.57368754202,34431.15061865152
5/7/20,151732.0,23803.0,1625.0,23169.17657008011,40876.57551301414,35966.24791690576
5/8/20,159528.0,26608.0,1723.0,21767.564880872247,40746.11461960577,37498.320499522
5/9/20,164933.0,31916.0,1827.0,20458.341683167993,40529.431956536064,39024.22636029597
5/10/20,173467.0,34306.0,1915.0,19237.36170438618,40233.639524011276,40540.998771602564
5/11/20,179534.0,39801.0,2009.0,18099.4333423794,39866.72037322472,42045.8462843959
5/12/20,186615.0,43512.0,2116.0,17038.318665434006,39437.52860635676,43536.152728209265
5/13/20,192056.0,48003.0,2212.0,16051.015800663448,38952.50383597578,45008.48036336078
5/14/20,196410.0,53530.0,2305.0,15135.867474156054,38416.05647574739,46460.07605009657
5/15/20,202199.0,58226.0,2418.0,14286.629650497525,37835.37890203424,47889.991447468245
5/16/20,206340.0,63166.0,2537.0,13497.518881753778,37217.1388198839,49297.34229836233
5/17/20,211748.0,67373.0,2631.0,12763.229436930702,36567.46709287729,50681.30347019202
5/18/20,217747.0,70209.0,2722.0,12078.93330197415,35891.95774312868,52041.10895489717
5/19/20,220974.0,76130.0,2837.0,11440.280179769943,35195.66795128569,53376.05186894437
5/20/20,220341.0,85392.0,2972.0,10843.397490143869,34483.118056529274,54685.48445332686
5/21/20,221774.0,92681.0,3099.0,10284.890369861681,33758.29155657374,55968.81807356458
5/22/20,223374.0,99825.0,3249.0,9761.841672629109,33024.63510766675,57225.52321970414
5/23/20,224558.0,107936.0,3388.0,9271.811969091832,32285.0585245893,58455.129506318866
5/24/20,227641.0,113299.0,3541.0,8812.839546835516,31541.93478065574,59657.225672508735
05/25/20,,,,8383.44041038578,30797.10000771377,60831.45958190044
05/26/20,,,,7982.608281208219,30051.853496144424,61977.538222647345
05/27/20,,,,7609.81459770839,29306.957694862096,63095.2277074295
05/28/20,,,,7265.0085152318225,28562.638211314523,64184.35327345363
05/29/20,,,,6948.616906064002,27818.583811482786,65244.79928245317
05/30/20,,,,6661.096768805187,27074.37746520468,66276.52576599014
05/31/20,,,,6395.077651497455,26336.96411192546,67279.95823657709
06/01/20,,,,6146.552511573988,25609.77272720498,68255.67476122103
06/02/20,,,,5914.249565794864,24893.56115706659,69204.18927713855
06/03/20,,,,5696.968602414914,24189.015725664554,70126.01567192054
06/04/20,,,,5493.580981183729,23496.751235284082,71021.66778353219
06/05/20,,,,5303.029633345652,22817.310966341323,71891.65940031303
06/06/20,,,,5124.329061639785,22151.166677383357,72736.50426097686
06/07/20,,,,4956.565340299987,21498.7186050882,73556.71605461181
